1.Reference_Cantonese_Text	2.Whisper_ASR_Prediction	3.Reference_English_Target	4.MT_English_Prediction
車輛本身已在當天格林威治標準時間約 12:00 時自事故現場移除。	車輛本身已在當天隔臨位置標準時間12時至事故現場移除。	車 輛 本 身 已 在 當 天 格 林 威 治 標 準 時 間 約 12:00 時 自 事 故 現 場 移 除	The vehicle itself was removed from the scene at 12 noon local time.
現今，無法收起翅膀的昆蟲只有蜻蜓與蜉蝣。	現金沒法收起翅膀的昆蟲只要停不停如否有	現 今 無 法 收 起 翅 膀 的 昆 蟲 只 有 蜻 蜓 與 蜉 蝣	Cash can't pick up the insects if they stop at nothing.
老虎是全方面的運動員，能攀爬（雖然不太專精）﹑游泳﹑遠距離跳躍並擁有超過一個強壯人類五倍的拉力。	老虎是全方面的運動員,能攀拍,雖然不太專精,由泳,遠距離跳躍,並擁有超過一個強壯人類五倍的拉力。	老 虎 是 全 方 面 的 運 動 員 能 攀 爬 雖 然 不 太 專 精 ﹑游 泳 ﹑遠 距 離 跳 躍 並 擁 有 超 過 一 個 強 壯 人 類 五 倍 的 拉 力	Tiger is an athlete in all aspects, able to bat, although not very skilled, swim, jump long distances, and has more than five times the resilience of a strong human.
哪些人造物品屬於古董並沒有一個放諸四海皆準的定義。有些稅務機關將歷史超過 100 年的物品定義為古董。	那些人做物品屬於古董並沒有一個放珠四海街準的定義,有些稅務機關將歷史超過100年的物品定義為古董。	哪 些 人 造 物 品 屬 於 古 董 並 沒 有 一 個 放 諸 四 海 皆 準 的 定 義 有 些 稅 務 機 關 將 歷 史 超 過 100 年 的 物 品 定 義 為 古 董	Those who make items that are classified as antique do not have a definition of what constitutes a Pearl Harbor street, and some tax authorities define items that have been around for over 100 years as antique.
科查莫谷──智利首屈一指的攀岩地點，有南美優勝美地之稱，擁有各式各樣的大片花崗岩壁和峭壁。	科查莫谷智利授屈一字的攀岩地點,有南美優勝美地之稱,擁有各式各樣的大片花崗岩壁和潮壁。	科 查 莫 谷 ──智 利 首 屈 一 指 的 攀 岩 地 點 有 南 美 優 勝 美 地 之 稱 擁 有 各 式 各 樣 的 大 片 花 崗 岩 壁 和 峭 壁	The Cocamomo Valley, a subdued Chilean-owned limestone site, is a South American victory-winning site with a variety of large granite walls and tidal walls.
氫離子是失去電子後的質子（因為氫原子由一個質子和一個電子組成）。	輕來指示失去電子後的質子,因為輕原子有一個質子和一個電子組成。	氫 離 子 是 失 去 電 子 後 的 質 子 因 為 氫 原 子 由 一 個 質 子 和 一 個 電 子 組 成	It's a simple indicator of a proton that loses electrons because a light atom has a proton and an electron.
因為牠們長著羽毛且能夠飛翔，很多人不認為牠們是恐龍的一種。	因為他們長著羽毛,且能夠飛翔,很多人不認為他們是恐龍的一種。	因 為 牠 們 長 著 羽 毛 且 能 夠 飛 翔 很 多 人 不 認 為 牠 們 是 恐 龍 的 一 種	Because they grow feathers and can fly, many people don't think they're a dinosaur.
網路結合了大眾與人際溝通這兩種元素。	網絡結合的帶還有人際溝通者兩種元素	網 路 結 合 了 大 眾 與 人 際 溝 通 這 兩 種 元 素	There are two elements of networked communication.
戰爭爆發後不久，英國便開始對德國發起海上封鎖。	戰爭爆發後不夠英國便開始對德國發起海上封鎖	戰 爭 爆 發 後 不 久 英 國 便 開 始 對 德 國 發 起 海 上 封 鎖	It wasn't long before Britain began to blockade Germany.
虛擬團隊必須遵守跟傳統團隊一樣的品質標準，但是有細微的差異。	開儀團隊必須遵守跟傳統團隊一樣的品質標準但是有細微的差異	虛 擬 團 隊 必 須 遵 守 跟 傳 統 團 隊 一 樣 的 品 質 標 準 但 是 有 細 微 的 差 異	The team must adhere to the same quality standards as the traditional team, but with slight differences.
中世紀末期，西歐開始發展獨特的風格。當時的一大進展，就是十字軍成員開始用釦子固定衣服。	中世紀末期,西歐開始發展獨特的風格,當時的一大進展,就是十字軍成員開始用扣子固定衣服。	中 世 紀 末 期 西 歐 開 始 發 展 獨 特 的 風 格 當 時 的 一 大 進 展 就 是 十 字 軍 成 員 開 始 用 釦 子 固 定 衣 服	In the late Middle Ages, Western Europe began to develop a unique style, and a major advance was the use of knots by the Crusaders.
英國殖民者把這裡據為已有，因此如果想在這片土地上尋找殖民歷史的證據，這裡是個不錯的起點。	英國殖民者把者類據為己誘,因此如果想在者編土地上尋找殖民歷史的證據,者類視覺不錯的起點。	英 國 殖 民 者 把 這 裡 據 為 已 有 因 此 如 果 想 在 這 片 土 地 上 尋 找 殖 民 歷 史 的 證 據 這 裡 是 個 不 錯 的 起 點	British colonists took the people as their own, so if they wanted to organize their land to look for evidence of colonial history, the people's vision was a good start.
巽達班斯森林已列入聯合國教科文組織世界遺產。位於印度境內的區域稱為巽達班斯國家公園。	鎮達班斯森林以列入聯合國教科文組織世界遺產位於印度境內的區域稱為鎮達班斯國家公園。	巽 達 班 斯 森 林 已 列 入 聯 合 國 教 科 文 組 織 世 界 遺 產 位 於 印 度 境 內 的 區 域 稱 為 巽 達 班 斯 國 家 公 園	The city of Darbanes is a UNESCO World Heritage Site in India and is known as the Darbanes National Park.
1889 年這個港口發生了惡名遠播的海軍僵持事件，當時七艘來自德國、美國、和英國的軍艦都拒絕離港。	1889年港口發生了惡名援博的海軍僵持事件,當時七收來自德國、美國和英國的軍艦都拒絕來說。	1889 年 這 個 港 口 發 生 了 惡 名 遠 播 的 海 軍 僵 持 事 件 當 時 七 艘 來 自 德 國 、美 國 、和 英 國 的 軍 艦 都 拒 絕 離 港	In 1889, the port was the scene of a notorious naval raid, which was refused by seven ships from Germany, the United States and Britain.
舉例來說，世界上最普遍的靜態圖像攝影格式是 35 釐米，這也是類比底片時代結束時的主要底片尺寸。	舉例來說,世界上最普遍的淨態圖像攝影格式是35厘米,即有時類比第一篇時代結束時的主要第一篇尺寸。	舉 例 來 說 世 界 上 最 普 遍 的 靜 態 圖 像 攝 影 格 式 是 35 釐 米 這 也 是 類 比 底 片 時 代 結 束 時 的 主 要 底 片 尺 寸	For example, the world's most common image photography format is 35 cm, which is sometimes the same as the main first size at the end of the first era.
羅士比數越小，星體在磁場逆轉方面就越不活躍。	羅氏比數越少,星體在磁場逆轉方面就越不活躍	羅 士 比 數 越 小 星 體 在 磁 場 逆 轉 方 面 就 越 不 活 躍	The fewer LHCs, the less active the stars are in the reverse of their magnetic fields.
這座山洞位於麥加北方的一座山頂上，徹底與外面的世界隔絕。	這座山洞位於墨迦北方的一座山頂上徹底與外面的世界隔絕	這 座 山 洞 位 於 麥 加 北 方 的 一 座 山 頂 上 徹 底 與 外 面 的 世 界 隔 絕	It's located on a hilltop north of Mecca, completely cut off from the outside world.
然而，在整體結核病患者群當中，罹患廣泛抗藥性結核菌者，比率似乎仍非常低；在南非，任何特定時刻中，每 33 萬人有 6 千人受到感染。	然而,在整體結核病患者群中,來患廣泛抗藥性結核菌者,比率似乎仍非常低。在南非,任何特定時刻中,每33萬人由6000人受到感染。	然 而 在 整 體 結 核 病 患 者 群 當 中 罹 患 廣 泛 抗 藥 性 結 核 菌 者 比 率 似 乎 仍 非 常 低 ；在 南 非 任 何 特 定 時 刻 中 每 33 萬 人 有 6 千 人 受 到 感 染	However, the prevalence of TB infections among TB patients overall seems to be very low: in South Africa, at any given time, there are 6,000 infections per 330,000 people.
透過紅外光譜術 (FTIR) 進行比較時顯示，這些晶體的組成與受害寵物的尿液中發現的晶體相符。	透過紅外光普述進行比較時顯示,這些精體的組成與受害寵物的療液中,發現的精體相符。	透 過 紅 外 光 譜 術 ftir 進 行 比 較 時 顯 示 這 些 晶 體 的 組 成 與 受 害 寵 物 的 尿 液 中 發 現 的 晶 體 相 符	When compared with the infrared spectroscopy, the composition of these extracts was similar to that found in the treatment fluid of the victim's pet.
熱門運動包括足球、籃球、排球、水球、擊劍、橄欖球、自行車、冰上曲棍球、直排輪曲棍球和 F1 賽車。	熱門運動包括足球、籃球、排球、水球、激艦、橄欖球、自行車、冰常曲運球、直排輪曲運球和F1賽車	熱 門 運 動 包 括 足 球 、籃 球 、排 球 、水 球 、擊 劍 、橄 欖 球 、自 行 車 、冰 上 曲 棍 球 、直 排 輪 曲 棍 球 和 f1 賽 車	The most popular sports include football, volleyball, volleyball, volleyball, hot water, rugby, cycling, ice hockey, straight-circuit hockey, and Formula One racing.
透過紅外光譜術 (FTIR) 進行比較時顯示，這些晶體的組成與受害寵物的尿液中發現的晶體相符。	透過紅外光譜技術進行比較時顯示,謝謝精體的組成與受害寵物的療液中發現的精體相符。	透 過 紅 外 光 譜 術 ftir 進 行 比 較 時 顯 示 這 些 晶 體 的 組 成 與 受 害 寵 物 的 尿 液 中 發 現 的 晶 體 相 符	When compared with infrared spectroscopy, the composition of the metabolic sperm matched that found in the treatment fluid of the victim's pet.
逆向文化衝擊的出現速度比文化衝擊快（較無蜜月期），持續時間較長，也比較嚴重。	亦向文化衝擊的出現速度比文化衝擊快,較無蜜月期,持續時間較長,也比較嚴重。	逆 向 文 化 衝 擊 的 出 現 速 度 比 文 化 衝 擊 快 較 無 蜜 月 期 持 續 時 間 較 長 也 比 較 嚴 重	It's also faster than cultural impact, less honeymoon, longer duration, and more severe.
且在革命之後，各種職缺都開放給所有主動求職的男性，讓最有意願和成就者得以接掌。	借助革命之後,各種籍卻都開放及所有主動求職的男性,讓最有意願皇成就者得意接獎。	且 在 革 命 之 後 各 種 職 缺 都 開 放 給 所 有 主 動 求 職 的 男 性 讓 最 有 意 願 和 成 就 者 得 以 接 掌	After the revolution, all the different degrees were open and all the men who actively applied for jobs were given the most ambitious royal achievers.
當組織內各個功能式部門均有效利用所有可運用的資源時，便可發揮創造力和獨創力。	東造精類各個功能式部門軍有效利用和所有可運用的資源時,便可發揮創造力和獨創力。	當 組 織 內 各 個 功 能 式 部 門 均 有 效 利 用 所 有 可 運 用 的 資 源 時 便 可 發 揮 創 造 力 和 獨 創 力	The creativity and uniqueness of the various functional branches of the Eastern Hemisphere can be demonstrated by the effective use of all available resources.
歐洲大陸雖然相對較小，但卻存在許多獨立國家。一般情況下，在數個國家間旅行代表著必須申請數個簽證，經歷多次護照檢查。	歐洲大陸雖然相對較少但卻存在許多獨立國家一般情況下再掃過國家家旅行代表著必須申請掃過簽證經歷多次護照檢查	歐 洲 大 陸 雖 然 相 對 較 小 但 卻 存 在 許 多 獨 立 國 家 一 般 情 況 下 在 數 個 國 家 間 旅 行 代 表 著 必 須 申 請 數 個 簽 證 經 歷 多 次 護 照 檢 查	Although relatively small, in many independent countries, a home-screening is usually required to apply for a visa and to have multiple passport checks.
女性：建議所有女性遊客，不論實際的婚姻狀況為何，都自稱已婚。	女性,建議所有女性遊客,不論實際的婚姻狀況為何,都自稱已婚。	女 性 ：建 議 所 有 女 性 遊 客 不 論 實 際 的 婚 姻 狀 況 為 何 都 自 稱 已 婚	Women, I recommend that all female tourists, regardless of their actual marital status, call themselves married.
前往重稅國家旅行的旅客，有時可以省下一筆不小的花費，尤其是在菸、酒等商品上。	前往重塞國家旅行的旅客,有時可以省下一多不少的花費,尤其是在煙酒等身份商。	前 往 重 稅 國 家 旅 行 的 旅 客 有 時 可 以 省 下 一 筆 不 小 的 花 費 尤 其 是 在 菸 、酒 等 商 品 上	Travelers who travel to a country that is already overwhelmed by the number of people who travel to the country can sometimes save a lot of money, especially in traveling to places like cigarettes and alcohol.
強風、冰雹、暴雨或暴雪、和野火是劇烈天氣的表現形式與結果，雷暴雨、龍捲風、海龍捲和氣旋也是。	強風冰博暴雨或暴雪和野火涉及烈天氣的表現形式與結果雷暴雨、龍捲風、海龍捲和氣旋也是。	強 風 、冰 雹 、暴 雨 或 暴 雪 、和 野 火 是 劇 烈 天 氣 的 表 現 形 式 與 結 果 雷 暴 雨 、龍 捲 風 、海 龍 捲 和 氣 旋 也 是	Heavy hail, thunderstorms, or snow and wildfires are the manifestations of extreme weather and the resulting thunderstorms, tornadoes, hailstorms and cyclones.
他們搭乘馬車返回巴黎，沿途被一群暴民包圍，民眾對著國王和王后叫囂、口出威脅。	貪玩搭乘馬車返回巴黎沿途比一群暴民包圍民眾對著國王王皇后叫囂後出威脅	他 們 搭 乘 馬 車 返 回 巴 黎 沿 途 被 一 群 暴 民 包 圍 民 眾 對 著 國 王 和 王 后 叫 囂 、口 出 威 脅	They were riding their fun carriage back to Paris, surrounded by mobs, threatening the Queen of the King and Queen of the King.
古文化與部落開始飼養牠們以便取得奶、毛、肉與皮。	古文法與布洛開始滋養貪門,以便取得奶、毛、肉、魚皮。	古 文 化 與 部 落 開 始 飼 養 牠 們 以 便 取 得 奶 、毛 、肉 與 皮	The ancient texts and the Blow began to feed the appetizers to milk, fur, meat, and fish skin.
該城市也是攀登尼拉貢戈火山的基地，可進行非洲一些最便宜的山地大猩猩追蹤活動。	該城市也是攀登來拉共過火山的基地可進行非洲一些最便宜的山地大聲聲追蹤活動	該 城 市 也 是 攀 登 尼 拉 貢 戈 火 山 的 基 地 可 進 行 非 洲 一 些 最 便 宜 的 山 地 大 猩 猩 追 蹤 活 動	The city is also the base for some of Africa's cheapest mountain voice tracking operations.
其他提名包括最佳影片、最佳導演、最佳攝影、最佳服裝設計、最佳剪輯、最佳原創音樂、最佳製作設計、最佳音效剪輯、最佳混音及最佳原著劇本獎。	其他提名包括最佳影片、最佳導演、最佳攝影、最佳服裝設計、最佳剪輯、最佳原創音樂、最佳製作設計、最佳音效剪輯、最佳混音及最佳原著劇本獎	其 他 提 名 包 括 最 佳 影 片 、最 佳 導 演 、最 佳 攝 影 、最 佳 服 裝 設 計 、最 佳 剪 輯 、最 佳 原 創 音 樂 、最 佳 製 作 設 計 、最 佳 音 效 剪 輯 、最 佳 混 音 及 最 佳 原 著 劇 本 獎	Other nominations include best film, best director, best cinematography, best costume design, best clips, best original music, best production design, best sound clips, best remix and best original screenplay.
惡劣天氣是所有危險天氣現象的總稱，有可能會造成破壞、嚴重的社會混亂或人命損失。	惡劣天氣試鎖有危險天氣現象的總稱有可能會造成破壞嚴重的社會混亂或人命損失	惡 劣 天 氣 是 所 有 危 險 天 氣 現 象 的 總 稱 有 可 能 會 造 成 破 壞 、嚴 重 的 社 會 混 亂 或 人 命 損 失	The general idea that bad weather is trying to block dangerous weather phenomena could lead to serious social unrest or loss of life.
考量所有因素後，如果我們的祖先解決「蛋白質問題」的方式與現今莽原上的黑猩猩類似，我們也無須感到驚訝。	考量所有因素後,如果我們的祖先解決蛋白質問題的方式如現今網員上的黑星星類似,我們也無需感到驚訝。	考 量 所 有 因 素 後 如 果 我 們 的 祖 先 解 決 「蛋 白 質 問 題 」的 方 式 與 現 今 莽 原 上 的 黑 猩 猩 類 似 我 們 也 無 須 感 到 驚 訝	After all, we shouldn't be surprised if our ancestors solved protein problems like the black stars on the web today.
也可以前往北方造訪非凡的花地瑪聖母朝聖地，那是世界聞名的聖母顯靈處。	也可以前往北方造訪非凡的花地馬聖墓朝聖地,那是世界文明的聖墓顯靈處。	也 可 以 前 往 北 方 造 訪 非 凡 的 花 地 瑪 聖 母 朝 聖 地 那 是 世 界 聞 名 的 聖 母 顯 靈 處	And we can also go north to visit the magnificent Shrine of the Holy Sepulchre, the holy site of the world's civilization.
最方便取用的植物資源應是葉子和莢豆中可取得的蛋白質，但除非經過烹調，不然對像我們這樣的靈長類動物來說它們很難消化。	最方便使用的植物資源應是葉子和甲豆中可取得的蛋白質,但除非經過烹調,不宜對象,我們只用零象類動物來說他們很難消化。	最 方 便 取 用 的 植 物 資 源 應 是 葉 子 和 莢 豆 中 可 取 得 的 蛋 白 質 但 除 非 經 過 烹 調 不 然 對 像 我 們 這 樣 的 靈 長 類 動 物 來 說 它 們 很 難 消 化	The most convenient plant resources should be proteins from leaves and beans, but unless they are cooked, they are not suitable for use in elephant animals.
他沒有設定減少的數量，只聲稱將依據中國的經濟產出進行削減。	貨幣有設定減少的數量,只聲稱將這句中國的經濟產出進行削減。	他 沒 有 設 定 減 少 的 數 量 只 聲 稱 將 依 據 中 國 的 經 濟 產 出 進 行 削 減	The currency is set to decline in size, claiming only to reduce China's economic output.
同樣的，如持有申根簽證，你就不需要分別申請每個申根會員國的簽證，從而節省了時間、金錢和文書作業。	同樣的,如持有新根簽證,你就不需要分別申請每個新根活園國的簽證,從而節省了時間,今前和文書作業。	同 樣 的 如 持 有 申 根 簽 證 你 就 不 需 要 分 別 申 請 每 個 申 根 會 員 國 的 簽 證 從 而 節 省 了 時 間 、金 錢 和 文 書 作 業	Similarly, if you have a new root visa, you don't need to apply for a separate visa for each new root country, thus saving time, present and documentation.
正確使用部落格「可以增強學生分析與批判的能力；學生能透過積極回應網路教材，明確定義自己在他人撰寫的文章脈絡中處於何種位置，也能勾勒出自己對特定議題的觀點（奧拉維斯， 2002 ）。	正確使用部落價可以增強學生分析與批判的能力,學生能透過積極回應網絡教材,明確定義自己在他人贊寫的文章密落中處於何種位置,人勾勒出自己對特定議題的觀點,奧拉維斯2002。	正 確 使 用 部 落 格 「可 以 增 強 學 生 分 析 與 批 判 的 能 力 ；學 生 能 透 過 積 極 回 應 網 路 教 材 明 確 定 義 自 己 在 他 人 撰 寫 的 文 章 脈 絡 中 處 於 何 種 位 置 也 能 勾 勒 出 自 己 對 特 定 議 題 的 觀 點 奧 拉 維 斯 2002	Using the right tribal values can enhance students' analytical and critical skills, allowing them to respond positively to online tutorials, define their position in their sponsored posts, and outline their views on specific topics, Olavis 2002.
羅蘭多‧蒙多薩以 M16 步槍向遊客射擊。	羅蘭多、蒙多薩以M16步槍向遊客射擊	羅 蘭 多 ‧蒙 多 薩 以 m16 步 槍 向 遊 客 射 擊	Roland and Mendoza fired M16 rifles at tourists.
這似乎很合理，因為地球感覺起來並沒有在移動，不是嗎？	這似乎很合理,因為地球感覺起來並沒有再移動,不是嗎?	這 似 乎 很 合 理 因 為 地 球 感 覺 起 來 並 沒 有 在 移 動 不 是 嗎 ？	And that seems reasonable, because the Earth feels like it's not moving anymore, right?
日本政府核能機構表示已在核電廠找到放射性銫及碘。	日本政府核能機構表示已在核電廠找到放射性吸電	日 本 政 府 核 能 機 構 表 示 已 在 核 電 廠 找 到 放 射 性 銫 及 碘	The Japanese government's nuclear energy agency says it has found radioactive waste in the nuclear power plant.
每一個世代，分離和重組會使得顯性和隱性兩組基因不斷產生變化。	每一個世代分離或從早會使得陷阱和隱性兩座基因不斷產生變化	每 一 個 世 代 分 離 和 重 組 會 使 得 顯 性 和 隱 性 兩 組 基 因 不 斷 產 生 變 化	Each generation separates or causes the two genes to be trapped and hidden.
丹地大學的帕梅拉‧弗格森教授指出：「如果發布嫌疑人的照片等資料，記者確實顯得遊走在險路上。」	丹地大学的拍摄、无赖、费甲心、教授指出如果发布嫌疑人的照片等资料记者确实显得游走在险路上。	丹 地 大 學 的 帕 梅 拉 ‧弗 格 森 教 授 指 出 ：「如 果 發 布 嫌 疑 人 的 照 片 等 資 料 記 者 確 實 顯 得 遊 走 在 險 路 上 」	A professor at Dundee University, photographer, and author, said that if journalists post photos of suspects, they do seem to be walking around in a safe way.
科學家能斷定暗物質用與一般物質相同的方式影響其他暗物質。	蜂窩家能斷定暗物質用於一般物質將同的方式影響其他暗物質	科 學 家 能 斷 定 暗 物 質 用 與 一 般 物 質 相 同 的 方 式 影 響 其 他 暗 物 質	Cellists can determine that dark matter is used for general matter and affects other dark matter in the same way.
「它們的熱行為不像地球上的大型洞穴那樣穩定、往往維持較一致的溫度，而是與深入地下的洞穴較為相近。」美國地理調查協會 (USGS) 天體地質學小組成員，亞利桑那州弗拉格斯塔夫北亞利桑那大學的葛倫‧庫欣表示。	貪污的熱行為不像地球上的大型動員那樣穩定往往維持教育智慧度而是與深入地下的動員較為相近美國地理調查協會USGS天體地質學小組成員阿里桑那州佛拉格斯塔夫北阿里桑那大學的角倫夫因表示	「它 們 的 熱 行 為 不 像 地 球 上 的 大 型 洞 穴 那 樣 穩 定 、往 往 維 持 較 一 致 的 溫 度 而 是 與 深 入 地 下 的 洞 穴 較 為 相 近 」美 國 地 理 調 查 協 會 usgs 天 體 地 質 學 小 組 成 員 亞 利 桑 那 州 弗 拉 格 斯 塔 夫 北 亞 利 桑 那 大 學 的 葛 倫 ‧庫 欣 表 示	Corruption is not as hot as the big drivers on Earth, and it's often more stable than the deep underground drivers, and it's more like that, according to Cornwell, a member of the USGS team on astronomy at Northern Arizona University in Flagstaff, Arizona.
大部分現代研究型望遠鏡都是巨大的設施，座落於有大氣條件良好的偏遠地區。	大部分現代研究營望遠鏡都是巨大的設施,作樂於有大氣條儘量好的偏遠地區。	大 部 分 現 代 研 究 型 望 遠 鏡 都 是 巨 大 的 設 施 座 落 於 有 大 氣 條 件 良 好 的 偏 遠 地 區	Most modern research camp telescopes are huge facilities that are designed to provide the best possible atmosphere for remote areas.
兒童被送往寄養中心的原因眾多，包括疏於照顧、虐待，甚至勒索。	而同被送往寄養中心的原因更多,包括疏於照顧、虐待甚至納索。	兒 童 被 送 往 寄 養 中 心 的 原 因 眾 多 包 括 疏 於 照 顧 、虐 待 甚 至 勒 索	And it's more like being sent to foster care, including neglect, abuse, and even NASA.
或許在近端因地殼較薄而有更多月海。此處的岩漿較容易浮到表面。	或許在近端因為地殼較薄易融更多月去此處的岩漿較容易浮到表面	或 許 在 近 端 因 地 殼 較 薄 而 有 更 多 月 海 此 處 的 岩 漿 較 容 易 浮 到 表 面	And maybe because the earth's crust is thinner, the rocky crust that's coming up here for months is more likely to float to the surface.
牠也會攻擊所有進入水中的任何東西；即使是像霸王龍這樣的巨型恐龍也不是牠的對手。	他也會攻擊所有進入水中的任何東西即使視像霸王龍者樣的巨型恐龍也不是他的對手	牠 也 會 攻 擊 所 有 進 入 水 中 的 任 何 東 西 ；即 使 是 像 霸 王 龍 這 樣 的 巨 型 恐 龍 也 不 是 牠 的 對 手	He would attack anything that gets into the water, even if the giant dinosaur, like the Dragon, wasn't his opponent.
娛樂新聞網站 TMZ 獲知，該名攝影師在塞普爾韋達大道 (Sepulveda Boulevard) 的對側停下車，試圖在穿過馬路並繼續前進之前對警察攔停點拍照，這促使加州公路巡警的警官兩次執行交通攔停，命令他回到車道對面。	如果新聞網站 TMZ 或之,該名攝影師在塞浦二位帶到 Sepulveda Boulevard 的對執停下車,試圖穿過馬路並繼續前進前對警察難停點拍照,且促使加州公路巡警的警官兩次執行交通難停,命令他回到車道對面。	娛 樂 新 聞 網 站 tmz 獲 知 該 名 攝 影 師 在 塞 普 爾 韋 達 大 道 sepulveda boulevard 的 對 側 停 下 車 試 圖 在 穿 過 馬 路 並 繼 續 前 進 之 前 對 警 察 攔 停 點 拍 照 這 促 使 加 州 公 路 巡 警 的 警 官 兩 次 執 行 交 通 攔 停 命 令 他 回 到 車 道 對 面	If the news website TMZ or not, the photographer took a couple of bus drivers to Sepulveda Boulevard in Cyprus, tried to cross the road and continue to take pictures of the police's difficulty stopping before moving forward, prompting the California Highway Patrol officer to execute traffic jams twice and order him to return to the opposite side of the road.
對 Springboks 隊來說，這也終結了五連敗。	對Springbox的內術者終結了五年拜	對 springboks 隊 來 說 這 也 終 結 了 五 連 敗	The Springbox surgeon is five years behind schedule.
不用說，如果你會一種羅曼語系的語言，那葡萄牙文對你來說會非常好學。	不用說如果你會一種羅曼語系的語言阿普圖亞文對你來說會非常好學	不 用 說 如 果 你 會 一 種 羅 曼 語 系 的 語 言 那 葡 萄 牙 文 對 你 來 說 會 非 常 好 學	Needless to say, if you learn a Romance language, Aptuanian will be very good for you.
但對於歸鄉遊子，人們可能覺得沒必要再擔待和理解他們。	但對於龜香油脂,人們可能覺得,會必要再擔待和理解它們	但 對 於 歸 鄉 遊 子 人 們 可 能 覺 得 沒 必 要 再 擔 待 和 理 解 他 們	But when it comes to oils, people might feel that they need to take care of them and understand them.
海地正義與民主組織參考了幾份獨立研究，這些研究認為尼泊爾聯合國維和部隊在不知情的情況下將該疾病帶入海地。	海對正義與民主組織參考了幾分獨立研究謝謝研究認為離拍以聯合國維和部隊在不知程的情況下將該疾病帶入海地	海 地 正 義 與 民 主 組 織 參 考 了 幾 份 獨 立 研 究 這 些 研 究 認 為 尼 泊 爾 聯 合 國 維 和 部 隊 在 不 知 情 的 情 況 下 將 該 疾 病 帶 入 海 地	The NGO Justice and Democracy cited several independent studies that thank you for suggesting that the disease was brought to Haiti unbeknownst to the UN peacekeeping force.
中世紀末期，西歐開始發展獨特的風格。當時的一大進展，就是十字軍成員開始用釦子固定衣服。	中世紀末期,西歐開始發展獨特的風格當時的一大進展,就是十字軍成員開始用扣子固定衣服	中 世 紀 末 期 西 歐 開 始 發 展 獨 特 的 風 格 當 時 的 一 大 進 展 就 是 十 字 軍 成 員 開 始 用 釦 子 固 定 衣 服	In the late Middle Ages, Western Europe began to develop a unique style, and a major advance was that the Crusaders began to fasten their clothes with buttons.
卡薩布蘭卡是全摩洛哥境內最無趣的購物處之一。	卡隆布蘭卡士全摩洛哥境內最無趣的購物處置	卡 薩 布 蘭 卡 是 全 摩 洛 哥 境 內 最 無 趣 的 購 物 處 之 一	Calon Blancas is the most uninteresting shopping process in all of Morocco.
獅群裡有一到三隻成年公獅，再加上多達三十隻母獅和幼獅組成。	屍群旅友一到三隻成年公屍再加上多達三十隻母屍和幼屍組成	獅 群 裡 有 一 到 三 隻 成 年 公 獅 再 加 上 多 達 三 十 隻 母 獅 和 幼 獅 組 成	The zombie traveler group consists of one to three adult corpses plus up to 30 mother and young corpses.
馬德立昨日在由九名委員組成的臨時選舉委員會 (CEP) 中宣誓。	馬德立足日再由九名委員組成的臨時選舉委員會CEP中宣誓	馬 德 立 昨 日 在 由 九 名 委 員 組 成 的 臨 時 選 舉 委 員 會 cep 中 宣 誓	Madeleine was sworn in at the C.E.P. of the nine-member provisional election commission.
文明是由一群數量顯著且以協作方式生活與工作的群眾（亦即社會）所共享的獨特文化。	文明是由一群數量顯著且以協助方式生活的、風作與工作的群眾,也即社會所共享的獨特文化。	文 明 是 由 一 群 數 量 顯 著 且 以 協 作 方 式 生 活 與 工 作 的 群 眾 亦 即 社 會 所 共 享 的 獨 特 文 化	Civilization is a unique culture shared by a group of people who live, work and work in a significant and collaborative way, and that is, by society.
德基西納夫人在阿根廷劇院宣佈有意競選總統，這裡也是她在 2005 年投入參議院選戰、欲成為布宜諾斯艾利斯省代表團一員時的起點。	德基西納夫人在阿根廷劇院宣佈有意競選總統者類也是他在2005年投入參議院選戰獄成為布爾洛斯艾利斯坦代表團一元時的起點	德 基 西 納 夫 人 在 阿 根 廷 劇 院 宣 佈 有 意 競 選 總 統 這 裡 也 是 她 在 2005 年 投 入 參 議 院 選 戰 、欲 成 為 布 宜 諾 斯 艾 利 斯 省 代 表 團 一 員 時 的 起 點	Mrs. De Quintana announced her candidacy for president in the Argentine theater and was the starting point for her entry into the Senate in 2005 as a member of the first delegation of the Blois d'Elysée.
他們通常會提供特別的餐點、飲料和娛樂以保持客人心情愉悅，並讓後者留在現場。	貪玩通常會提供特別的餐點,飲料和娛樂,以保持客人心情愉悅,並讓後者留在現場。	他 們 通 常 會 提 供 特 別 的 餐 點 、飲 料 和 娛 樂 以 保 持 客 人 心 情 愉 悅 並 讓 後 者 留 在 現 場	Fun is usually a special meal, drink and entertainment to keep the guest happy and keep the guest on the scene.
地殼在近端厚約七十公里，在遠端厚約一百公里。	地殼近端後約70公里,遠端後約100公里	地 殼 在 近 端 厚 約 七 十 公 里 在 遠 端 厚 約 一 百 公 里	It's about 70 kilometers from the nearest tip and 100 kilometers from the far end.
