1.Reference_Arabic_Audio	2.Whisper_ASR_Prediction	3.Reference_English_Target	4.MT_English_Prediction
من الشمال، يحد الساحل الإفريقي المنطقة، ويحدّها المحيط الأطلسي من الجنوب والغرب.	من الشمال يحدث ساحل الإفريق المنطقة، ويحدثها المحيط الأطلسي من الجنوب والغرب.	In the north the region is bounded by the Sahel, and in the south and west by the Atlantic Ocean.	From the north, the African coast is the region, and the Atlantic Ocean is the south and west.
قد لا يتوقع الناس أن الصبر والتفاهم ضروريان أيضاً للمسافرين العائدين إلى ديارهم.	قد لا يتوقع الناس أن الصبر والتفاهم ضروريان أيضاً للمسافرين العائدين إلى ديارهم.	People may not anticipate that patience and understanding are also necessary for travellers returning home.	People may not expect that patience and understanding are also necessary for travellers returning home.
يقع الكهف على قمة أحد الجبال شمال مكة، وهو معزول تماماً عن بقية العالم.	يقع الكهف على قمة أحد الجبال شمال مكة، وهو معزولٌ تماماً عن باقية العالم.	Resting on the top of one of the mountains north of Mecca, the cave is completely isolated from the rest of the world.	The cave lies at the top of a mountain in northern Mecca, and is completely isolated from the rest of the world.
لم يستطع تناول الأدوية اللازمة للتغلّب على الألم إذ أن استخدامها ممنوع في الألعاب.	يمكن يستطع تناول الأدوية اللازمة للكغلب على الألم إذ أن استخدامها ممنوع في الألعاب.	He has been unable to take the drugs needed to overcome his pain as they are banned from the Games.	He can take the drugs needed to beat the pain, since it's forbidden to use them in games.
لا تجعل القماش يصبح ساخنًا أكثر من اللازم (مما قد يؤدي إلى انكماشه أو احتراقه في أسوأ الحالات).	لا تجعل القماش يصبح ساخنًا أكثر من اللازم، مما قد يؤدي إلى انكماشه أو احتراقه في أسوء الحالات.	Be careful not to allow fabric to become too hot (which can cause shrinkage, or in extreme cases, scorch).	Don't let the cloth get too hot, which could lead to deflation or burning at worst.
يتم إذاعة الإعلانات المنتظمة في المترو باللغة الكاتالونية فقط، بينما يتم إذاعة الاضطرابات غير المتوقعة بواسطة نظام آلي في مجموعة متنوعة من اللغات تشمل الإسبانية والإنجليزية والفرنسية والعربية واليابانية.	يتم إجعت الإعلانات المنتظمة في المترو باللغة الكاتلونية فقط بينما يتم إجعت الاترابات غير المتوقعة بواسطة نظام آلي في مجموعة متنووعة من اللغات تشمل الأسبانية والانجليزية والفرنسية والعربية واليابانية.	Regular announcements in the Metro are made only in Catalan, but unplanned disruptions are announced by an automated system in a wide variety of languages including Spanish, English, French, Arabic and Japanese.	Regular advertising in the subway is done in Catalan only, while unexpected soil is done by an automated system in a variety of languages, including Arabic, English, French, and Japanese.
لكن هذا غير صحيح. فعلى الرغم من وجود شيء مكتوب على ظهر المستند، فإنه ليس خريطةً لكنز.	لكن هذا غير صحيح، فعلى الرغم من وجود شيء مكتوب على ظهر المستند، فإنه ليس خريطة لكنز.	However, that is not true. Although there is something written on the back of the document, it is not a treasure map.	But that's not true, though there's something written on the back of the document, it's not a treasure map.
"وصف أحد المراقبين مدينة بيشكيك بأنها تغرق في حالة من ""فقدان السيطرة""، حيث تجولت عصابات من الناس في الطرقات وقاموا بنهب مخازن السلع الاستهلاكية."	وصف أحد المراقبين مدينة بيشكيك بأنها تغرق في حالة من فقدان السيطرة، حيث تجولت عيسابات من الناس في الطرقات، وقاموا بنهب مخازن السلعة الاستهلاكية.	"Bishkek was described as sinking into a state of ""anarchy"" by one observer, as gangs of people roamed the streets and plundered stores of consumer goods."	An observer described the city of Bishkek as drowning in a state of loss of control, where people wandered the streets and looted the stores of the consumer goods.
ينتقد التقرير بشدة كل جوانب السياسة الحالية تقريباً للسلطة التنفيذية تجاه العراق، كما يحثّ على تغيير فوري في الاتجاه.	ينتقد التقريب شدة كل جوانب السياسة الحالية تقريباً للسلطة التنفيزية تجاه العراق، كما يحسوا على تغيير فريف الاتجاه.	The Report is highly critical of almost every aspect of the present policy of the Executive towards Iraq and it urges an immediate change of direction.	The proximity criticizes the intensity of almost all aspects of the current policy of the executive authority towards Iraq, and they also sense a shift in direction.
يكتب الناس الآن رسائل على شاشات الكمبيوتر، دون الاحتياج إلى استخدام المباراة.	يكتب الناس الآن رسائل على الشاشات الكمبيوتر دون الاحتياج إلى استخدام المباراة.	People now write messages on computer screens, never having to come close to a sharpener.	People now write messages on computer screens without having to use the game.
تشمل الترشيحات الأخرى جائزة أفضل فيلمٍ ومخرجٍ وتصويرٍ سينمائيٍّ وتصميم أزياء ومونتاج وموسيقى تصويرية وتصميم إنتاج وتعديل الصوت ومزج الصوت وسيناريو أصلي.	تشمل الترشيحات الأخرى جائزة أفضل فلم ومخرج وتصوير سنمائي وتصميم أزياء ومونتاج وموسيقى تصويرية وتصميم إنتاج وتعديل الصوت ومسج الصوت وسناريو أصلي.	The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay.	Other nominations include the award of the best film, film director, filmmaker, fashion design, montage, photographic music, and the design of the production and modification of sound, sound and original Snario.
قد يختار هؤلاء الأزواج وضع خطة تبني لأطفالهم.	قد يختار هؤلاء الأزواق وتحخطت تبدني لأطفالهم.	These couples may choose to make an adoption plan for their baby.	He might choose these wizards, and you're making a mistake about me for their children.
"كان محمد مهتمّاً بشدة بالأمور التي تتجاوز هذه الحياة الدنيويّة. اعتاد التردّد على غار أصبح يعرف بـ""حراء"" فوق جبل ""النور"" للتأمّل."	كان محمد مهتمًا بشدة بالأمور التي تتجاوز هذه الحياة الدنيوية. اعتاد التردد على غار أصبح يعرف بحراء فوق جبل النور للتأمول.	Muhammad was deeply interested in matters beyond this mundane life. He used to frequent a cave that became known as “Hira‘” on the Mountain of “Noor” (light) for contemplation.	Muhammad was very interested in things that go beyond this earthly life. He used to hesitate to a gar that became known freely over Mount Light to hope.
فعلى سبيل المثال، تنسيق تصوير الصور الساكنة الأكثر شيوعاً في العالم هو 35 ميليمتراً، وهو حجم الفيلم المسيطر في نهاية عصر الفيلم التناظري.	فعل سبيل المثال، تنسيق تصوير الصور الساكن الأكثر شيئًا في العالم، هو 35 مم، وهو حجم الفيلم المسيطر في نهاية عصر فيلم التناظري.	For example, the most common still image photography format in the world is 35mm, which was the dominant film size at the close of the analog film era.	He did, for example, coordinate the most static images in the world, 35 mm, the size of the dominant film at the end of the analogue era.
يدعم الترابط بين علم أمراض الدماغ والسلوك العلماء في أبحاثهم.	يدعم الترابط بين علم أمراض الدماغ والسلوك العلماء في أبحاثه.	The correlation between brain pathology and behaviour supports scientists in their research.	The interrelationship between brain pathology and behavior supports scientists in their research.
مع مرور عامين على نهاية الحرب، و أصبح الحلفاء السابقون أعداء الآن وبدأت الحرب الباردة.	مع مضور عامين على النهاية الحرب، وصبح الحرفاء السابقون أعداً الآن، وبدأت الحرب البردة.	With two years of the end of the war, the former allies were now enemies and the Cold War began.	With two years to the end of the war, former craftsmen are now ready, and the cold war has begun.
ثم نُقل لاحقاً إلى مستشفى أدنبروك في كامبريدج.	ثم نقل لاحقاً إلى مستشفى أدمبروك في كامبرج.	He was subsequently relocated to Addenbrooke's Hospital in Cambridge.	He was later transferred to Edmbrook Hospital in Cambridge.
شهرتها بكونها مركز الفخامة بدأت في عام 400 بعد الميلاد واستمرت حتى عام 1100 بعد الميلاد.	شهرتها بكونها مركز الفخامة، بدأت في عام ٤٠ بعد الميلاد، واستمرت حتى عام ١٠ بعد الميلاد.	Its renown for being an epicenter of luxury began in about 400 A.D. and lasted up until about 1100 A.D.	Its fame as the center of majesty began in 40 A.D. and lasted until 10 A.D.
كان في استقباله نائب رئيس الوزراء السنغافوري وونغ كان سينغ وناقش قضايا التجارة والإرهاب مع رئيس وزراء سنغافورة لي هسين لونج.	كان في استقباله نائب رئيس الوزراء السنغافوري وانك كان سينغ ونقش قضاية تجارة والإرهاب مع رئيس وزراء السنغافورة ليه سينلونغ.	He was greeted by Singapore's Deputy Prime Minister Wong Kan Seng and discussed trade and terrorism issues with the Singapore Prime Minister Lee Hsien Loong.	He was received by Singapore's Deputy Prime Minister, Wank Kang Singh, and discussed the issue of trade and terrorism with Singapore's Prime Minister, Le Sinlong.
"تحتوي هضبة الجيزة، أو ""مدينة الجيزة الجنائزية"" بوادي الموتى المصري، على عدة أهرامات (أكبرها الهرم الأكبر) ومقابر صغيرة ومعابد وأبو الهول."	تحتوي هضبة الجيزة أو مدينة الجيزة الجنائذية بوادي الموت المصري، على عدة أهرامات أكبرها الهرام الأكبر ومقابر صغيرة ومعابد وأبو الهول.	"The Giza Plateau, or ""Giza Necropolis"" in the Egyptian Valley of the Dead contains several pyramids (of which the great pyramid is the largest), several small tombs, several temples, and the great Sphinx."	The Giza Hill or the funeral city of Giza, in the Egyptian valley of death, contains several pyramids, the largest of which is the Great Pyramid, small graves, temples and sphinx.
ربما ترغب أيضاً في طلب المشورة من حكومات غير حكومتك، ولكن نصيحة تلك الحكومات صادرة خصيصاً لمواطنيها.	ربما ترغب أيضاً في طلب المشور من حكومات غير حكومتك، ولكن نصيحة تلك الحكومات سادرة خصيصاً لمواطنيها.	You may also wish to consult the advice of governments other than your own, but their advice is designed for their citizens.	You may also wish to seek advice from governments other than yours, but the advice of those governments is directed specifically at their citizens.
وبحلول عام 1976، تمت استعادة ثلاثين في المائة من ماتشو بيتشو واستمرت أعمال الترميم حتى اليوم.	وبحلول عام 1976، تم تستعادة 30% من ماتشو بيتشو واستمعت أعمال التعميم حتى اليوم.	By 1976, thirty percent of Machu Picchu had been restored and restoration continues till today.	By 1976, 30% of Machu Picchu had been recovered and circulation had been heard to date.
يجمع الإنترنت بين عناصر كلٍّ من التواصل الجماهيري والشخصي.	إجمع الإنترنت بين عناصر كل من التواصل الجماهري والشخصي.	The Internet combines elements of both mass and interpersonal communication.	The Internet combines elements of both mass and personal communication.
تعقد الكنائس الأكثر تقليدية غالبًا صلاة عشية عيد الفصح في يوم السبت أثناء نهاية أسبوع الفصح، وغالبًا ما تبدأ التجمعات في الاحتفال ببعث السيد المسيح عند حلول منتصف الليل.	تُعقد الكنائس الأكثر تقليدية غالباً صلاط عشية عيد الفصح في يوم السبت أثناء نهاية أسبوع الفصح، وغالباً ما تبدأ التجموعات في الاحتفال ببعث السيد المسيح عند حلول منتصف الليل.	More traditional churches often hold an Easter Vigil on Saturday night during the Easter weekend, with the congregations often breaking into celebration at the stroke of midnight to celebrate Christ's resurrection.	The most traditional churches often hold Easter night sauce on Saturday during the end of Easter week, and the crowds often begin to celebrate the resurrection of Christ at midnight.
في حال كنت تعبر منطقة بحر البلطيق الشمالية في الشتاء، فيجب أن تفحص موقع الكابينة، إذ أن المرور عبر الجليد يسبب ضوضاء صاخبة للغاية للأشخاص الأكثر تضرراً.	فحال كنت تعبر منطقة بحر البلتيق الشمالية في الشتة، فيجب أن تفحص موقع الكبينة إذ أن المرورة عبر الجليد يسبب ضدوء صخبة للغاية للأشخاص الأكثر تضررًا.	If crossing the Northern Baltic in winter, check the cabin location, as going through ice causes quite horrible noise for those most affected.	If you are crossing the North Baltiak Sea area in the winter, you must examine the location of the cabin, as ice passage causes extremely loud opposition to the most affected people.
تبحث هذه النظريات في الشيء الذي يجعل بعض الأشخاص يريدون الأشياء التي يفعلونها والأشياء في بيئتهم المحيطة التي تجعلهم يفعلون أو لا يفعلون أشياء معينة.	تبحث ذين نظريات في الشيء الذي يجعل بعض الأشخاص يردون الأشياء التي يفعلونها والأشياء في بيئتهم المحيطة التي تجعلهم يفعلون أو لا يفعلون أشياء معينة.	These theories look at what it is about certain people that make them want the things that they do and what things in their environment will make them do or not do certain things.	Theoretically looking at something that makes some people want the things they do and the things in their surrounding environment that make them do or don't do certain things.
لقد جلب لنا القطار، والسيارة، والعديد من أجهزة النقل الأخرى.	لقد جلب أننا القطاة والسيار العديد من أجهزة النقل الأخرى.	It has brought us the train, the car, and many other transportation devices.	We cats and cars have brought in many other transport devices.
تحدث صدمة العودة إلى الوطن الأم أسرع من الصدمة الثقافية (تقصر مرحلة شهر العسل)، وتستمر لفترة أطول، ويمكن أن تكون أكثر حدة.	تحدث صدمة العودة إلى الوطن الأمّ أسرع من الصدمة الثقافية. تُقصّر مرحلة شهر العسل، وتستمر لفترة، ولو يمكن أن تكون أكثر حدة.	Re-entry shock comes on sooner than culture shock (there's less of a honeymoon phase), lasts longer, and can be more severe.	The trauma of returning to the motherland is faster than the cultural shock, cutting off the honeymoon phase, going on for a while, even if it could be more intense.
"علماء الحشرات يستخدمون مصطلح ""البق"" بمعناه الرسمي للإشارة لهذه المجموعة من الحشرات."	علماء الحشرات يستخدمون مستلح البأء بمعنىه الرسمي للإشارة لهذه المجموعة من الحشرات.	The term bug is used by entomologists in a formal sense for this group of insects.	Insect scientists use the salty substance in the official sense to refer to this group of insects.
قدر سلاح المهندسين الأمريكيين أن 6 بوصات من الأمطار يمكن أن تخترق السدود الترابية المتضررة سابقاً.	قدر سلاح المهندسين الأمريكيين أن ست بساط من الأمطار يمكن أن تخترق السدود الترابية المتدررة سابقاً.	The U.S. Corps of Engineers estimated that 6 inches of rainfall could breach the previously damaged levees.	The U.S. Corps of Engineers estimated that six rugs of rain could penetrate the previously run-off dirt dams.
تكوين هذه البلورات متطابق مع تلك الموجودة في بول الحيوانات الأليفة المتأثرة عند مقارنتها بواسطة التحليل الطيفي بالأشعة تحت الحمراء (FTIR).	كوين هذه البلورات متطابق مع تلك الموجودة في بول الحيوانات الأليفة المتأثرة عند مقارنتها بواسطة التحليل الطفيب الأشعة تحت الحمراء FTIR.	The composition of these crystals matches those found in the urine of affected pets when compared by infrared spectroscopy (FTIR).	Quinn, these crystals are identical to those found in the urine of affected pets when compared with the FTIR.
لديها أقدام ذات طبقات حماية خارجية ومخالب، وتضع البيض، وتمشي على سيقانها الخلفية مثل التيرانوصور.	لديها أقدام ذات طبقات حماية خارجية ومخالب، وتضع البيض وتمشي على سقانها الخلفية مثل التيرانوسور.	They have feet with scales and claws, they lay eggs, and they walk on their two back legs like a T-Rex.	She has exterior protective feet and claws, she lays eggs and walks on her back legs like a Tyrannosaurus.
تمّكن العلماء من استنتاج أن المادة الداكنة تؤثر على المادة الداكنة الأخرى بنفس الطريقة التي تؤثر بها المادة الطبيعية.	تمكن العلماء من استنتاج أن المدد داكنة تؤثر على المدد داكنة الأخرى بنفس الطريقة التي تؤثر بها المدد الطبيعيّة.	The scientists were able to conclude that the dark matter affect other dark matter in the same way regular matter does.	Scientists have been able to conclude that dark tides affect other dark tides in the same way as natural tides.
تمامًا مثلما يجذب القمر الأرض فيتسبب في حدوث المد والجزر، تجذب مجرة درب التبانة مجرة الرامي.	تماماً مثل ما يجزغ القمر الأرض، فيتسبّف في حدوث المد والجزر تلزم مجرّة ضرب التبانة مجرّة الرامية.	Just like the moon exerts a pull on the earth, causing tides, so does the Milky Way exert a force on the Sagittarius galaxy.	Just like the moon rips the Earth, causing the tides to occur, the galaxy needs to hit the Milky Way, the target galaxy.
"وصف أحد المراقبين مدينة بيشكيك بأنها تغرق في حالة من ""فقدان السيطرة""، حيث تجولت عصابات من الناس في الطرقات وقاموا بنهب مخازن السلع الاستهلاكية."	وصف أحد المراقبين مدينة بيشكيك بأنها تغرق في حالة من فقدان السيطرة، حيث تجولت عصابات من الناس في الطرقات وقام بنهب مخازن السلع الاستهلاكية.	"Bishkek was described as sinking into a state of ""anarchy"" by one observer, as gangs of people roamed the streets and plundered stores of consumer goods."	An observer described the city of Bishkek as sinking in a state of loss of control, where gangs of people wandered the streets and looted consumer goods stores.
تشكلت في المحيط الأطلسي اليوم عاشر عاصفة مُسماة لموسم الأعاصير الأطلسية، العاصفة شبه الاستوائية جيري.	تشكت في المحيط الأطلسي اليوم عاشر عاصفة مسماج موسم الأعاصر الأطلسية العاصفة شبه الاستوائية جيري.	The tenth named storm of the Atlantic Hurricane season, Subtropical Storm Jerry, formed in the Atlantic Ocean today.	In the Atlantic Ocean today, I complained about the tenth blizzard of the season of the subtropical Atlantic hurricanes Jerry.
كما أن مشاركة رحلة ميدانية افتراضية طريقة رائعة لاسترجاع رحلة معينة وتبادل الخبرات مع الفصول المستقبلية.	كما أن مشاركة رحلة ميدانية افتراضية طريقة رأى لاسترجاع رحلة معينة وتبدو الخبرات مع الفصول المستقبلية.	Sharing a field trip virtually is also a great way to reflect a on a trip and share experiences with future classes.	The participation of a virtual field trip was also seen as a way of retrieving a particular trip and experience appeared with future chapters.
لا تحتاج إلى يخت في الأرخبيل والبحيرات.	لا تحتاج إلى يختفي الأرخبيل والبحيرات.	In the archipelagos and lakes you do not necessarily need a yacht.	You don't need to disappear the archipelago and the lakes.
"تكون النباتات في أفضل أحوالها حينما تظل في بيئة طبيعية، لذا قاوم رغبتك في القطف حتى ولو كانت عينة ""واحدة فقط""."	تكون النباتات في أفضل أحوالها حينما تظل في بيئة طبيعية، لذا قاوم رغبتك في القطف حتى ولو كانت عيّنة واحدة فقط.	"Plants look their best when in a natural environment, so resist the temptation to remove even ""just one"" specimen."	Plants are at their best when they remain in a natural environment, so resist your desire to pick even if it's just one sample.
يقع الكهف على قمة أحد الجبال شمال مكة، وهو معزول تماماً عن بقية العالم.	يقع الكهف على قمة أحد الجبال شمال مكة، وهو معظول تماماً عن بقية العالم.	Resting on the top of one of the mountains north of Mecca, the cave is completely isolated from the rest of the world.	The cave is at the top of a mountain north of Mecca, and it's completely paranoid about the rest of the world.
ربما ترغب أيضاً في طلب المشورة من حكومات غير حكومتك، ولكن نصيحة تلك الحكومات صادرة خصيصاً لمواطنيها.	ربما ترغب أيضاً في طلب المشورة من حكومات غير حكومتك، ولكن ناصيح تلك الحكومات سادرة خصيصاً لمواطنيها.	You may also wish to consult the advice of governments other than your own, but their advice is designed for their citizens.	You may also wish to seek advice from governments other than yours, but their advice is directed specifically to their citizens.
خُلِق كل شيء في الكون من مادة. خُلِقت كل المواد من جزيئات صغيرة تُسمي بالذرات.	خُلقى كل شيء في الكون من مدى. خُلقى كل المواد من جزيئات صغيرة تسمى بالذرات.	Everything in the Universe is made of matter. All matter is made of tiny particles called atoms.	Everything in the universe was created from a range. All the materials were created from tiny molecules called atoms.
"عند أخذ كل الأشياء بعين الاعتبار، لا ينبغي لنا أن نندهش إذا قام أسلافنا بحل ""مشكلة البروتين"" لديهم بطريقة ما على نفس النحو التي يقوم بها الشمبانزي في السافانا."	عند أغذ كل الأشياء بعين الاعتبار، لا ينبغي لنا أن نذهج إذا قام أسلافنا بحل مشكلة البروتين لديهم بطريقة ما على نفس النحو التي يقوم بها الشمبانزي في السفن.	"All things considered, we should not be surprised if our own ancestors solved their ""protein problem"" in somewhat the same way that chimps on the savanna do today."	When all things are taken into account, we should not rejoice if our ancestors solve their protein problem somehow in the same way as the chimpanzees do on ships.
"لأن ريش الديناصورات لا يحتوي سلسلة عظمية مكتملة التطور، تدعى ""العمود الفقري""، ولكنها تمتلك خصائص أخرى للريش - كالنتوءات والنتوءات الصغرى - خلص الباحثون أن العمود الفقري كان على الأرجح نشأة تطورية لاحقة لهذه الخصائص الأخرى."	لأن ريش الديناصورات لا يحتوي سلسلة عفمية مجتملة التطور. تدعى العمود الفقري، ولكنها تمتلك خصائص أخرى للريش كالنطوئات والنطوئات الصغرة. خلص الباحثون أن العمود الفقري كان على الأرجح نشأة تطورية لحقة لهذه الخصائص الأخرى.	Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.	It is called the spine, but it has other characteristics of the feathers, such as low and low. Researchers have concluded that the spine was more likely to be an evolutionary development for these other characteristics.
أطلق رولاندو ميندوزا النار من بندقيته م16على السياح.	أطل قرولاندو من دوزا النار من بندقيته إمّ 16 على السياح.	Rolando Mendoza fired his M16 rifle at the tourists.	Garlando of Doza shot his M16 rifle at tourists.
عند استغلال جميع الموارد المتاحة بشكل فعال عبر الإدارات الوظيفية في المنظمة، يمكن أن يتحقق الإبداع والبراعة.	عند استغلال جميع الموارد المتاحة بشكل فعال عبر الإدارات الوظيفية في المنظمة، يمكن أن يتحقق الإبداع والبراع.	When all available resources are effectively used across the functional departments of an organization, creativity and ingenuity can transpire.	In effectively exploiting all available resources across the functional departments of the Organization, creativity and creativity can be achieved.
تخضع الفرقُ الافتراضية إلى نفس معاييرِ التميّز مثل الفرق التقليدية، ولكن هناك اختلافات دقيقة.	تخضع الفرق الإفترادية إلى نفس معير التمييز، مثل الفرق التقليدية، ولكن هناك اختلفات دقيقة.	Virtual teams are held to the same standards of excellence as conventional teams, but there are subtle differences.	Individual teams are subject to the same distinctions as traditional ones, but there are delicate differences.
إنه أنحف تحت ماريا وأكثر سمكاً تحت المرتفعات.	إنه أنحف تحت ماريا وأكثر وسمكن تحت المرتفعات.	It is thinner under the maria and thicker under the highlands.	It's thinner under Maria and more, and it's possible under the highlands.
يجمع الإنترنت بين عناصر كلٍّ من التواصل الجماهيري والشخصي.	يجمع الإنترنت بين عنوثر كل من التواصل الجماهري والشخص.	The Internet combines elements of both mass and interpersonal communication.	The Internet combines the altruistic communication of both the masses and the person.
كما قامت بالهجوم على كل ما يدخل المياه؛ حتى ديناصور عملاق مثل تي ريكس لم يضاهيها.	كما قمت بالهجوم على كل ما يدخل المياه، حتى ديناصور عملاق مثل تيريكس لم يضاهيها.	It also attacked anything that entered the water; even a giant dinosaur such as T. rex would be no match for it.	I also attacked everything that entered the water, even a giant dinosaur like Terex wasn't matched.
يتم عرض المشاهد على الأهرامات و تضاء الأهرامات المختلفة.	يتم عودة المشاهد على الأهامات وتضاع الأهامات المختلفة.	The scenes are displayed on the pyramids and the different pyramids are lit up.	The scenery is returned on charges and the various charges are lost.
أدى استخدام تسجيلات الفيديو إلى اكتشافات هامة في مجال تفسير التعابير الدقيقة للوجه، وهي حركات للوجه تستمر لبضع أجزاء من الثانية الواحدة.	أدى استخدام تسجلات الفيديو إيه اكتشفات هاما في مجال تفسير التعبير الدوكيكو للوجه، وهي حواقات للوجه تستمر البطع أجزاء من الثانية الواحدة.	The use of video recording has led to important discoveries in the interpretation of micro-expressions, facial movements which last a few milliseconds.	The use of video records has led to significant discoveries in the area of the interpretation of the docico expression of the face, which are facial hiccups that continue to bite parts of a second.
"في الأسبوع الماضي، أعلنت METI أن Apple أبلغتها بـ 34 حادثا إضافيا من حوادث الانهاك، أطلقت عليها الشركة اسم ""غير خطيرة""."	إن أمي T.I. في الأسبوع الماضي أعلنت أبلغتها بـ34 حادثًا إضافيًا من أبل حوادث الإنهاج، أطلقت عليها الشركة اسم غير خطيرة.	"Last week, METI announced that Apple had informed it of 34 additional overheating incidents, which the company called ""non-serious."""	My mother, T.I., announced last week that she was informed of 34 more of the most awful anesthetic incidents, which the company called a non-serious name.
تم إطلاق سراح ستة رهائن مبكراً، من بينهم أطفالٌ ومسنين، بالإضافة إلى المصورين الفلبينيين.	تم إطلاق سراح سيت تراهائن مبكرًا من بينهم أطفال مصنين بالإضافة إلى المصورين الفليبينيين.	Six hostages, including the children and elderly, were released early, as were the Filipino photographers.	Seth was released early, including children who were protected, as well as Filipino paparazzi.
لا تشوه الموقع بوضع علامات أو الكتابات الخادشة على الجدران في المباني.	لا تشوه الموقع بوضع علامات أو كتبات الخادشة على الجدرون في المباني.	Do not deface the site by marking or scratching graffiti into structures.	Do not distort the site by placing scratching marks or books on the walls in the buildings.
منذ تأسيس أسونسيون عام 1537، تمكنت باراغواي من الحفاظ على الكثير من طابعها الأصلي وهويته.	منذ تأسيس أوسنسيون عام 1537، تمكنت برجوي من الحفاظ على الكثير من طابعها الأصلي وهويته.	Since the foundation of Asunción in 1537, Paraguay has managed to keep a lot of its indigenous character and identity.	Since the founding of Asunción in 1537, I have managed to preserve many of its original nature and identity.
قام المعهد الهايتي للعدالة والديمقراطية بالإشارة إلى دراساتٍ مُستقلّة تقترح أنه قد جلبت كتيبة حفظ السلام النيبالية التابعة للأمم المتحدة المرض بدون علم منها إلى هايتي.	قام المعادو الهييتي للعدالة والديموقراتية بالإشارة إلى درسات مستقلة، تقترح أنه قد قلبت كتيبة حفظ السلامة النبالية التابعة للأمم المتحدة المرض بدون علماً منها إلى هييتي.	The Haitian Institute for Justice and Democracy has referenced independent studies that suggest the Nepalese UN peacekeeping battalion unknowingly brought the disease to Haiti.	The Haitian anti-justice and democratists referred to independent studies, suggesting that the United Nations Napali safety battalion had turned the disease unknowingly into Heite.
تعمل القنبلة الانشطارية على أساس أنها تجمع الطاقة لتكوِّن نواة مليئة بالبروتونات والنيوترونات.	تعمد القنبلة الإشترية على أساس أنها تجمع الطاقة لتكون نواه مليئة بالبروتونات والنيوترونات.	The fission bomb works on the principle that it takes energy to put together a nucleus with many protons and neutrons.	The bomb is intentionally purchased on the basis that it collects energy to be a nucleus full of protons and neutrons.
تدعم الولايات المتحدة للجمباز رسالة اللجنة الأولمبية الأمريكية وتقبل الحاجة المطلقة للأسرة الأولمبية لتعزيز بيئةٍ آمنةٍ لجميعِ الرياضيين لدينا.	تدعم الولايات المتحدة للجمباز رسالة اللجنة الأولمبية الأمريكية وتقبل الحاجة المطلقة للأسرة الأولمبية لتعزيز بيئة آمنة لجميع الرياضيين لدينا.	USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.	The United States supports the gymnastics mission of the American Olympic Committee and accepts the absolute need of the Olympic family to promote a safe environment for all our athletes.
بينما لم يكن التلوث الضوئي في ذروته إحدى مشاكلهم المهمة كما هي الحال في هذه الأيام، فهم متواجدون عادة في المدن أو حرم الجامعات والوصول إليهم أسهل من الوصول إلى تلك المبنية في العصر الحديث.	بينما لم يكن التلوث الضوئي في ذروته إحدى مشاكله من مهمة كما هي الحال في هذه الأيام، فهم تواجدون عادةً في المدن أو حرم الجامعات، والوصول إليهم أسهل من الوصول إلى تلك المبنية في العصر الحديث.	As light pollution in their heyday was not the kind of problem it is today, they are usually located in cities or at campuses, easier to reach than those built in modern times.	While light pollution was not as important a problem as it is nowadays, they are usually present in cities or campuses, and are easier to reach than those built in modern times.
يُوفّر ذلك فرصةً جيدةً لمشاهدةِ الشفقِ القطبيِّ ، حيث ستكون السماء مظلمةً بصورةٍ أكثر أو أقل على مدار الساعة.	يوفر ذلك فرصة جيدة لمشاهدة الشفق القمبي، حيث ستكون السماء مظلمة بصورة أكثر أو أقل على مدار الساعة.	This offers a good opportunity to see the Aurora borealis, as the sky will be dark more or less around the clock.	This provides a good opportunity to watch the mitral twilight, where the sky will be darker or less around the clock.
وعلى الرغم من ذلك، فنظرا لبطء قنوات التواصل، قد تتأخر الأنماط في الغرب قدر ما يقارب 25 إلى 30 سنة.	وعلى الرغم من ذلك، فنظم لبطء قانوات التواصل قد تتأخر الأنماط في الغرب القدر ما يقرب 25-30 سنة.	However, due to the slow communication channels, styles in the west could lag behind by 25 to 30 year.	Nevertheless, systems for slow communication channels may delay patterns in the West by approximately 25-30 years.
بدأ كومو، 53 عام حكمه في وقت مبكر هذا العام ووقع مشروع قانون الشهر الماضي يشرع الزواج من نفس الجنس.	بدأ كومو 53 عام حكمه في وقت مبكر هذا العام، وقع مشروع قانون الشهر الماضي يشرع الزواج من نفس الجنس.	Cuomo, 53, began his governorship earlier this year and signed a bill last month legalizing same-sex marriage.	Como began his 53 years of government earlier this year, signing last month's bill that begins same-sex marriage.
يبدو هذا منطقياً، لأنك لا تشعر أن الأرض تتحرك، أليس كذلك؟	يبدو هذا منطقيًا لأنك لا تشعر أن الأرض تتحرك، ليس كذلك.	This seems sensible, because the Earth doesn't feel as if it's moving, does it?	That makes sense because you don't feel like the Earth is moving, it's not.
وهي طريقة هامة للتمييز بين بعض الأفعال وأسماء الأشياء.	وهي طريقة هامة للتمييز بين بعض الأفعال وأسماء الأشياء.	This is an important way to distinguish between some verbs and objects.	It is an important way of distinguishing between certain acts and the names of things.
